report_schema_version,engine_version,feel_package_version,dmn_package_version,dmn_tck_commit,dmn_specification_version,elixir_version,otp_version,execution_date,suite,profile,compatibility_percent,suite_coverage_percent,coverage_percent,group,id,status,decision,expected_error,expected,actual,error,case_file,compliance_level
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/Time","passed","Time","false","{""type"":""time"",""value"":""00:00:01-01:00""}","{""type"":""time"",""value"":""00:00:01-01:00""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/Time2","passed","Time2","false","{""type"":""time"",""value"":""00:00:01-01:00""}","{""type"":""time"",""value"":""00:00:01-01:00""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/Time3","passed","Time3","false","{""type"":""time"",""value"":""12:59:01.3-01:00""}","{""type"":""time"",""value"":""12:59:01.3-01:00""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/cDay","passed","cDay","false","{""type"":""number"",""value"":""24""}","{""type"":""number"",""value"":""24""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/cHour","passed","cHour","false","{""type"":""number"",""value"":""0""}","{""type"":""number"",""value"":""0""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/cMinute","passed","cMinute","false","{""type"":""number"",""value"":""0""}","{""type"":""number"",""value"":""0""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/cMonth","passed","cMonth","false","{""type"":""number"",""value"":""12""}","{""type"":""number"",""value"":""12""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/cOffset","passed","cOffset","false","{""kind"":""day_time"",""months"":0,""seconds"":-3600,""type"":""duration""}","{""kind"":""day_time"",""months"":0,""seconds"":-3600,""type"":""duration""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/cSecond","passed","cSecond","false","{""type"":""number"",""value"":""1""}","{""type"":""number"",""value"":""1""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/cYear","passed","cYear","false","{""type"":""number"",""value"":""2015""}","{""type"":""number"",""value"":""2015""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/dtDuration1","passed","dtDuration1","false","{""kind"":""day_time"",""months"":0,""seconds"":1130414,""type"":""duration""}","{""kind"":""day_time"",""months"":0,""seconds"":1130414,""type"":""duration""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/dtDuration2","passed","dtDuration2","false","{""kind"":""day_time"",""months"":0,""seconds"":31733939,""type"":""duration""}","{""kind"":""day_time"",""months"":0,""seconds"":""31733939"",""type"":""duration""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/seconds","passed","seconds","false","{""type"":""number"",""value"":""14""}","{""type"":""number"",""value"":""14""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/sumDurations","passed","sumDurations","false","{""kind"":""day_time"",""months"":0,""seconds"":32864353,""type"":""duration""}","{""kind"":""day_time"",""months"":0,""seconds"":""32864353"",""type"":""duration""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/years","passed","years","false","{""type"":""number"",""value"":""1""}","{""type"":""number"",""value"":""1""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-date-time","001/ymDuration2","passed","ymDuration2","false","{""kind"":""year_month"",""months"":12,""seconds"":0,""type"":""duration""}","{""kind"":""year_month"",""months"":12,""seconds"":0,""type"":""duration""}","null","TestCases/compliance-level-3/0007-date-time/0007-date-time-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-simpletable-P2","001","passed","Approval Status","false","""Approved""","""Approved""","null","TestCases/compliance-level-2/0007-simpletable-P2/0007-simpletable-P2-test-01.xml","compliance-level-2"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0007-simpletable-P2","002","passed","Approval Status","false","""Declined""","""Declined""","null","TestCases/compliance-level-2/0007-simpletable-P2/0007-simpletable-P2-test-01.xml","compliance-level-2"
